VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080,3811251.6,142049.0,5101919.51,672819.31,260999.19999999998,68601.68,1290667.9099999997,25.297692514949137,0.9791080783016267,1.3386467348416462
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038,3804041.22,160247.0,4819073.49,561512.37,294438.66,144929.24,1015032.27,21.062809523579187,0.9768895012131336,1.2668299871892554
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407,3418303.68,187140.0,4538120.6,461140.14999999997,343854.07,123780.22,1119816.9199999995,24.67578583081286,0.9985752933454993,1.3275943347432488
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682,3261197.94,200412.0,4475972.88,420050.00999999995,368242.8,257032.07,1214774.94,27.139908408024134,0.9937029581221923,1.3724934709114895
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109,3023206.01,135838.0,4223107.62,545778.28,249587.83,257032.07,1199901.6100000003,28.41276420040653,0.9835564662693959,1.3968970708681545
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809,2466635.93,141860.0,3383912.4,446932.08999999997,111699.19,89286.27,917276.4699999997,27.106980369822804,1.0219798428055817,1.3718734730341822
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783,2177285.08,69627.0,2773367.73,614529.3400000001,127931.67,123780.22,596082.6499999999,21.493098212403297,0.9836683949535906,1.2737733590678901
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386,2088334.84,148265.0,2592041.35,292586.29,272422.6,257032.07,503706.51,19.43281151745515,0.9186980283295949,1.2412000701956396
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835,1903739.55,90481.0,2640491.19,503661.01999999996,166244.44,257032.07,736751.6399999999,27.902067720968233,0.9852561659498013,1.3870023291789046
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866,1773427.14,107061.0,2435393.39,426902.77999999997,196707.35,123880.97,661966.2500000002,27.18108099981335,0.9834199842007606,1.3732694933269152
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205,1530426.1,91247.0,2148965.53,436011.63999999996,71840.56999999999,123780.22,618539.4299999997,28.78312478097309,0.9789925433184915,1.4041615795757794
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942,1498161.96,61433.0,1840615.67,442856.19999999995,112875.19,257032.07,342453.70999999996,18.605389250000247,0.917704878850348,1.2285825692704144
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001,1478001.42,70122.0,2189368.78,495957.83,128839.08,89286.27,711367.3599999999,32.49189293728761,1.0162461413602701,1.4813035700601693
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668,1460072.3599999999,214238.0,2326007.78,189608.96,24083.77,17587.59,865935.4199999999,37.2283974045865,0.9933694382105829,1.59307705818087
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951,1452173.31,41639.0,2009508.61,662320.04,32783.09,68054.7,557335.3,27.734904803418587,0.9694535633629019,1.3837939288389758
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,59.99,1750.0,31596,1414552.92,28372.0,1739044.28,507291.43,52133.72,257032.07,324491.3600000001,18.659177556997,0.897961767312318,1.2293949949924816
17035,PERNOD RICARD USA,5364,Kahlua,23.07,29.99,1750.0,60645,1399080.15,59771.0,1844950.29,504735.06,109817.06999999999,123780.22,445870.14000000013,24.167054387140162,0.9855882595432435,1.3186880608662772
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,33.99,1750.0,64249,1396130.77,65184.0,2068091.16,494487.65,119767.49,257032.07,671960.3899999999,32.49181675337754,1.0145527556849134,1.4813018983887876
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,39.99,1750.0,47546,1373128.48,47966.0,1884307.34,596574.93,88129.8,257032.07,511178.8600000001,27.128210411789834,1.0088335506667228,1.3722731466468456
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,21.99,1750.0,79078,1317439.48,79042.0,1635666.58,121065.24999999999,145234.95,257032.07,318227.1000000001,19.455499298640685,0.9995447532815701,1.2415496915273863
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,29.99,1750.0,57349,1283470.62,56888.0,1766391.1199999999,460087.95,104524.54,89286.27,482920.49999999977,27.339386760504087,0.9919614988927444,1.3762614371336368
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,49.99,1750.0,33388,1277758.76,32945.0,1699669.55,589137.79,60533.43,89286.27,421910.79000000004,24.823106938639928,0.9867317599137415,1.3301959675079824
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,24.99,1750.0,61936,1208990.72,61323.0,1528730.27,392353.54,112669.45,18544.49,319739.55000000005,20.91536723479676,0.9901026866442779,1.264468159027722
480,BACARDI USA INC,126,Grey Goose Vodka,20.14,32.99,1000.0,59878,1205942.92,58013.0,1736610.87,294049.49,60913.65,89286.27,530667.9500000002,30.557677552715084,0.9688533351147333,1.4400440030776915
12546,JIM BEAM BRANDS COMPANY,3512,Pinnacle Vodka,11.76,16.99,1750.0,101480,1193404.8,98938.0,1624366.6199999999,306439.94,181782.13,123880.97,430961.81999999983,26.531068460394724,0.9749507292077256,1.3611195631189013
12546,JIM BEAM BRANDS COMPANY,2120,Canadian Club,12.21,16.99,1750.0,97473,1190145.33,94960.0,1554498.4,307670.2,174471.93,123880.97,364353.06999999983,23.438626247540675,0.9742185015337581,1.3061416625480518
7245,PROXIMO SPIRITS INC.,8159,Jose Cuervo Especial,19.69,25.99,1750.0,59088,1163442.72,58610.0,1549701.9,431497.81,107685.03,38994.78,386259.17999999993,24.924740687225068,0.9919103709721094,1.331996731218534
480,BACARDI USA INC,4243,Bacardi Superior Rum,14.49,19.99,1750.0,76389,1106876.61,77041.0,1657809.59,342678.85,141551.61,89286.27,550932.98,33.2325849315421,1.0085352603123487,1.4977365814966492
8112,MOET HENNESSY USA INC,6654,Veuve Clicquot Brut Yellow,27.2,39.99,750.0,40380,1098336.0,38506.0,1584665.41,349562.06,4316.36,48347.26,486329.4099999999,30.68972206568199,0.9535908865775137,1.442787462124523
3960,DIAGEO NORTH AMERICA INC,8512,Baileys Irish Cream,14.72,19.99,750.0,72952,1073853.44,73122.0,1456174.78,340626.12999999995,57570.69,257032.07,382321.3400000001,26.255182087413992,1.0023302993749315,1.3560274854639383
7245,PROXIMO SPIRITS INC.,3802,Three Olives Vodka,13.43,18.99,1750.0,77066,1034996.38,74722.0,1408627.78,331726.62999999995,137288.58,38994.78,373631.4,26.524494639740816,0.9695845119767472,1.3609977843594003
11567,CAMPARI AMERICA,3826,Skyy Vodka,15.74,19.99,1750.0,65382,1029112.6799999999,64388.0,1327401.1199999999,352821.77999999997,118298.37,20964.81,298288.43999999994,22.471612800808842,0.9847970389403812,1.289850126032846
